"","z","type","suf","id","rep"
"1",-12,1,0.000512030919102017,2,1
"2",-11,1,0.000795076620365037,2,1
"3",-10,1,0.00149364421446423,2,1
"4",-9,1,0.00206479473705696,2,1
"5",-8,1,0.00482700634653428,2,1
"6",-7,1,0.00788705487452633,2,1
"7",-6,1,0.0183014128840122,2,1
"8",-6,4,0.0505742589019639,2,1
"9",-5,1,0.0256578803386965,2,1
"10",-5,4,0.111111731381277,2,1
"11",-4,1,0.0611324067584179,2,1
"12",-4,4,0.135433591036797,2,1
"13",-3,1,0.1033709516332,2,1
"14",-3,4,0.29197040545855,2,1
"15",-2,1,0.0644686051811403,2,1
"16",-2,4,0.120399148713896,2,1
"17",-13,1,0.000285443057285768,2,2
"18",-12,1,0.000799778412213059,2,2
"19",-11,1,0.00122747862432924,2,2
"20",-10,1,0.00165956997373963,2,2
"21",-9,1,0.00385528853708638,2,2
"22",-8,1,0.00497283146451952,2,2
"23",-7,1,0.0104650384170744,2,2
"24",-6,1,0.019256740694419,2,2
"25",-6,4,0.0527963638973935,2,2
"26",-5,1,0.0326675949531971,2,2
"27",-5,4,0.114507913139691,2,2
"28",-4,1,0.0654310052851802,2,2
"29",-4,4,0.165816641789107,2,2
"30",-3,1,0.0802793357624546,2,2
"31",-3,4,0.269787340295061,2,2
"32",-2,1,0.0661537004776116,2,2
"33",-2,4,0.110037935219638,2,2
"34",-14,1,5.17222366691788e-05,2,3
"35",-13,1,0.000158907963254429,2,3
"36",-12,1,0.00024956463742862,2,3
"37",-11,1,0.000351093916555594,2,3
"38",-10,1,0.000774799108662694,2,3
"39",-9,1,0.00136199482783613,2,3
"40",-8,1,0.00294509498615095,2,3
"41",-7,1,0.00564694101830454,2,3
"42",-6,1,0.00719138141926445,2,3
"43",-6,4,0.0386422195772551,2,3
"44",-5,1,0.0173479459445404,2,3
"45",-5,4,0.12770119901841,2,3
"46",-4,1,0.0302306440303254,2,3
"47",-4,4,0.153033746462053,2,3
"48",-3,1,0.0561083328255326,2,3
"49",-3,4,0.260471935829518,2,3
"50",-2,1,0.0413789947316169,2,3
"51",-2,2,0.15342135335927,2,3
"52",-2,4,0.102932128107353,2,3
"53",-15,1,8.62770050128123e-05,2,4
"54",-14,1,0.000181964119551214,2,4
"55",-13,1,0.000250891126105184,2,4
"56",-12,1,0.000475318373947893,2,4
"57",-11,1,0.000622831091102976,2,4
"58",-10,1,0.00100879941303491,2,4
"59",-9,1,0.00227972381961985,2,4
"60",-8,1,0.00455765376676582,2,4
"61",-7,1,0.00584520781741682,2,4
"62",-6,1,0.0131138348556973,2,4
"63",-6,4,0.033646711565511,2,4
"64",-5,1,0.0189521292017709,2,4
"65",-5,4,0.0593323683449094,2,4
"66",-4,1,0.0332633370790851,2,4
