"","Time","Krs","sam","soil_type","loc"
"1",0.4,7.35804041652372e-06,1,"loam","Palermo, Italy"
"2",0.6,1.08775775562857e-05,1,"loam","Palermo, Italy"
"3",0.8,1.27047945403206e-05,1,"loam","Palermo, Italy"
"4",1,1.35311316775478e-05,1,"loam","Palermo, Italy"
"5",1.2,1.40027828944309e-05,1,"loam","Palermo, Italy"
"6",1.4,1.43370219733729e-05,1,"loam","Palermo, Italy"
"7",1.6,1.45211862461974e-05,1,"loam","Palermo, Italy"
"8",1.8,1.46131128919409e-05,1,"loam","Palermo, Italy"
"9",2,1.46657522438991e-05,1,"loam","Palermo, Italy"
"10",2.2,1.46860216210126e-05,1,"loam","Palermo, Italy"
"11",2.4,1.46970299996504e-05,1,"loam","Palermo, Italy"
"12",2.6,1.47043697950911e-05,1,"loam","Palermo, Italy"
"13",2.8,1.47088110716332e-05,1,"loam","Palermo, Italy"
"14",3,1.47100533566615e-05,1,"loam","Palermo, Italy"
"15",3.2,1.47111481640499e-05,1,"loam","Palermo, Italy"
"16",3.4,1.47115069061749e-05,1,"loam","Palermo, Italy"
"17",3.6,1.47116879874126e-05,1,"loam","Palermo, Italy"
"18",3.8,1.47118667594168e-05,1,"loam","Palermo, Italy"
"19",4,1.47119181051413e-05,1,"loam","Palermo, Italy"
"20",4.2,1.47119574717574e-05,1,"loam","Palermo, Italy"
"21",4.4,1.4711972776862e-05,1,"loam","Palermo, Italy"
"22",4.6,1.47119799624683e-05,1,"loam","Palermo, Italy"
"23",4.8,1.47119844976907e-05,1,"loam","Palermo, Italy"
"24",5,1.47119876043889e-05,1,"loam","Palermo, Italy"
"25",5.2,1.47119890618972e-05,1,"loam","Palermo, Italy"
"26",5.4,1.46449871983966e-05,1,"loam","Palermo, Italy"
"27",5.6,1.44234559477816e-05,1,"loam","Palermo, Italy"
"28",5.8,1.41227926964237e-05,1,"loam","Palermo, Italy"
"29",6,1.3822536038695e-05,1,"loam","Palermo, Italy"
"30",6.2,1.34088225918061e-05,1,"loam","Palermo, Italy"
"31",6.4,1.29890761037078e-05,1,"loam","Palermo, Italy"
"32",6.6,1.24541162762669e-05,1,"loam","Palermo, Italy"
"33",6.8,1.21404578175944e-05,1,"loam","Palermo, Italy"
"34",7,1.17276019810056e-05,1,"loam","Palermo, Italy"
"35",7.2,1.10829524348099e-05,1,"loam","Palermo, Italy"
"36",7.4,1.05669587217295e-05,1,"loam","Palermo, Italy"
"37",7.6,1.02730233788263e-05,1,"loam","Palermo, Italy"
"38",7.8,1.01025097325368e-05,1,"loam","Palermo, Italy"
"39",8,9.9648292409692e-06,1,"loam","Palermo, Italy"
"40",8.2,1.57754506631304e-05,1,"loam","Palermo, Italy"
"41",8.4,1.791168906978e-05,1,"loam","Palermo, Italy"
"42",8.6,2.66249599243393e-05,1,"loam","Palermo, Italy"
"43",8.8,3.26561553622921e-05,1,"loam","Palermo, Italy"
"44",9,3.71303489994059e-05,1,"loam","Palermo, Italy"
"45",0.4,1.74812310358274e-06,2,"loam","Palermo, Italy"
"46",0.6,3.28372859975422e-06,2,"loam","Palermo, Italy"
"47",0.8,5.76333285840055e-06,2,"loam","Palermo, Italy"
"48",1,6.22851116153865e-06,2,"loam","Palermo, Italy"
"49",1.2,7.70550307120817e-06,2,"loam","Palermo, Italy"
"50",1.4,8.45104795805876e-06,2,"loam","Palermo, Italy"
"51",1.6,8.7101097469002e-06,2,"loam","Palermo, Italy"
"52",1.8,9.45765667856709e-06,2,"loam","Palermo, Italy"
"53",2,9.91254612100965e-06,2,"loam","Palermo, Italy"
"54",2.2,1.00730500513269e-05,2,"loam","Palermo, Italy"
"55",2.4,1.03549529328431e-05,2,"loam","Palermo, Italy"
"56",2.6,1.36286691102936e-05,2,"loam","Palermo, Italy"
"57",2.8,1.62940279382349e-05,2,"loam","Palermo, Italy"
"58",3,1.62940279382349e-05,2,"loam","Palermo, Italy"
