"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,-0.0184,-0.0047,-2.0982,0.0078,0.0374,12,1,2,0.100019448108855,1
"2",1,2,1,-0.0184,-0.0047,-2.0982,-0.104,0.0312,-2.5895,0.0078,0.2243,12,1,2,0.49999185993374,1
"3",2,3,1,-0.104,0.0312,-2.5895,-0.1473,0.0515,-2.947,0.0078,0.3591,12,1,2,0.36068439112332,1
"4",3,4,1,-0.1473,0.0515,-2.947,-0.2275,0.0426,-3.4405,0.0078,0.546,12,1,2,0.500053497138056,1
"5",4,5,1,-0.2275,0.0426,-3.4405,-0.2279,0.0426,-3.4431,0.0078,0.547,12,1,2,0.0026305892875929,1
"6",5,6,1,-0.2279,0.0426,-3.4431,-0.3035,0.0401,-3.9374,0.0078,0.7339,12,1,2,0.500054097073507,1
"7",6,7,1,-0.3035,0.0401,-3.9374,-0.3116,0.0401,-4.0211,0.0078,0.7654,12,1,2,0.084091022112946,1
"8",7,8,1,-0.3116,0.0401,-4.0211,-0.3219,0.0402,-4.1109,0.0078,0.7991,12,1,2,0.0903888267431327,1
"9",8,9,1,-0.3219,0.0402,-4.1109,-0.323,0.0334,-4.6108,0.0078,0.986,12,1,2,0.499947457239259,1
"10",9,10,1,-0.323,0.0334,-4.6108,-0.3216,0.0253,-5.1107,0.0078,1.1729,12,1,2,0.499967578948875,1
"11",10,11,1,-0.3216,0.0253,-5.1107,-0.3209,0.0238,-5.2133,0.0078,1.2113,12,1,2,0.102613351957726,1
"12",11,12,1,-0.3209,0.0238,-5.2133,-0.2642,0.056,-5.7091,0.0078,1.3982,12,1,2,0.500069365188471,1
"13",12,13,1,-0.2642,0.056,-5.7091,-0.2195,0.078,-6.1176,0.0078,1.552,12,1,2,0.411526839950932,1
"14",13,14,1,-0.2195,0.078,-6.1176,-0.1766,0.0958,-6.6154,0.0078,1.7389,12,1,2,0.499962088562723,1
"15",14,15,1,-0.1766,0.0958,-6.6154,-0.1743,0.0968,-6.6408,0.0078,1.7485,12,1,2,0.025523518566216,1
"16",15,16,1,-0.1743,0.0968,-6.6408,-0.1235,0.1312,-7.137,0.0078,1.9354,12,1,2,0.499978439535146,1
"17",16,17,1,-0.1235,0.1312,-7.137,-0.0575,0.1701,-7.6311,0.0078,2.1223,12,1,2,0.50000401998384,1
"18",17,18,1,-0.0575,0.1701,-7.6311,-0.0252,0.1761,-8.13,0.0078,2.3092,12,1,2,0.499980499619736,1
"19",18,19,1,-0.0252,0.1761,-8.13,-0.0207,0.1922,-8.525,0.0078,2.4569,12,1,2,0.395353588576099,1
"20",19,20,1,-0.0207,0.1922,-8.525,-0.0202,0.194,-8.5681,0.0078,2.4731,12,1,2,0.0431404682403879,1
"21",0,21,2,0,0,-2,0.0293,-0.0548,-2.0783,0.0067,2.4778,9.5545,4,2,0.0999620928152267,10
"22",21,22,2,0.0293,-0.0548,-2.0783,0.0293,-0.0549,-2.0783,0.0067,2.4778,9.5545,4,2,9.99999999999959e-05,10
"23",20,23,1,-0.0202,0.194,-8.5681,-0.0146,0.2488,-9.0651,0.0078,2.66,12,1,2,0.500043398116603,1
"24",23,24,1,-0.0146,0.2488,-9.0651,-0.0167,0.2891,-9.3543,0.0078,2.7691,12,1,2,0.292001952048271,1
"25",24,25,1,-0.0167,0.2891,-9.3543,-0.0115,0.3493,-9.8506,0.0078,2.956,12,1,2,0.499964768758759,1
"26",25,26,1,-0.0115,0.3493,-9.8506,-0.0099,0.3545,-9.9084,0.0078,2.9777,12,1,2,0.0580554906964021,1
"27",0,27,3,0,0,-2,-0.0418,0.0425,-2.0803,0.0075,2.983,9.0545,4,2,0.100007899687975,10
"28",26,28,1,-0.0099,0.3545,-9.9084,0.0045,0.3987,-10.4063,0.0078,3.1647,12,1,2,0.500065405722091,1
"29",27,29,3,-0.0418,0.0425,-2.0803,-0.2424,0.2644,-2.4809,0.0075,3.1708,9.0545,4,2,0.499960328426166,10
"30",29,30,3,-0.2424,0.2644,-2.4809,-0.4076,0.4615,-2.8764,0.0075,3.348,9.0545,4,2,0.471762334231973,10
"31",28,31,1,0.0045,0.3987,-10.4063,0.0186,0.4426,-10.9041,0.0078,3.3516,12,1,2,0.499930855218999,1
"32",0,32,4,0,0,-2,-0.0608,-0.0033,-2.0793,0.0074,3.4828,8.5545,4,2,0.0999800980195558,10
"33",31,33,1,0.0186,0.4426,-10.9041,0.0443,0.4599,-11.274,0.0078,3.4903,12,1,2,0.371195083480371,1
"34",30,34,3,-0.4076,0.4615,-2.8764,-0.581,0.6746,-3.2942,0.0075,3.5357,9.0545,4,2,0.500036008703373,10
"35",32,35,4,-0.0608,-0.0033,-2.0793,-0.3617,-0.0124,-2.4786,0.0074,3.6695,8.5545,4,2,0.500064105890435,10
"36",33,36,1,0.0443,0.4599,-11.274,0.084,0.506,-11.7703,0.0078,3.6772,12,1,2,0.500014989775308,1
"37",34,37,3,-0.581,0.6746,-3.2942,-0.7814,0.8691,-3.7089,0.0075,3.7235,9.0545,4,2,0.499966498877675,10
"38",35,38,4,-0.3617,-0.0124,-2.4786,-0.5941,-0.0016,-2.793,0.0074,3.8155,8.5545,4,2,0.391118600938385,10
"39",36,39,1,0.084,0.506,-11.7703,0.1162,0.5628,-12.2661,0.0078,3.8641,12,1,2,0.500080713485332,1
"40",37,40,3,-0.7814,0.8691,-3.7089,-0.9676,1.0298,-4.1443,0.0075,3.9113,9.0545,4,2,0.500068085364384,10
"41",0,41,5,0,0,-2,0.0314,-0.0534,-2.0785,0.0074,3.9799,8.0545,4,2,0.0999988499933874,10
"42",39,42,1,0.1162,0.5628,-12.2661,0.1378,0.6045,-12.634,0.0078,4.0028,12,1,2,0.370885238315035,1
"43",40,43,3,-0.9676,1.0298,-4.1443,-1.1057,1.1776,-4.6015,0.0075,4.099,9.0545,4,2,0.499948287325799,10
"44",41,44,5,0.0314,-0.0534,-2.0785,0.175,-0.31,-2.4829,0.0074,4.1518,8.0545,4,2,0.500003879984946,10
"45",42,45,1,0.1378,0.6045,-12.634,0.1532,0.6783,-13.1283,0.0078,4.1897,12,1,2,0.500016089741119,1
"46",43,46,3,-1.1057,1.1776,-4.6015,-1.2332,1.3259,-5.0616,0.0075,4.2868,9.0545,4,2,0.49994114653627,10
"47",45,47,1,0.1532,0.6783,-13.1283,0.1566,0.7221,-13.4403,0.0078,4.3075,12,1,2,0.315077768177954,1
"48",44,48,5,0.175,-0.31,-2.4829,0.3117,-0.5746,-2.8846,0.0074,4.3237,8.0545,4,2,0.500062936039055,10
"49",48,49,5,0.3117,-0.5746,-2.8846,0.3542,-0.6624,-3.0182,0.0074,4.3806,8.0545,4,2,0.165420826983787,10
"50",47,50,1,0.1566,0.7221,-13.4403,0.1582,0.7822,-13.8746,0.0078,4.4713,12,1,2,0.438441626673379,1
"51",46,51,3,-1.2332,1.3259,-5.0616,-1.3569,1.4525,-5.5293,0.0075,4.4746,9.0545,4,2,0.500072534738711,10
"52",0,52,6,0,0,-2,-0.0591,-0.0447,-2.0672,0.0082,4.4799,7.5545,4,2,0.100033694323463,12
"53",52,53,6,-0.0591,-0.0447,-2.0672,-0.3542,-0.2684,-2.4031,0.0082,4.6518,7.5545,4,2,0.499954507930471,12
"54",50,54,1,0.1582,0.7822,-13.8746,0.1661,0.852,-14.3696,0.0078,4.6583,12,1,2,0.499959448355565,1
"55",51,55,3,-1.3569,1.4525,-5.5293,-1.4111,1.5541,-6.0159,0.0075,4.6623,9.0545,4,2,0.500039758419268,10
"56",54,56,1,0.1661,0.852,-14.3696,0.1726,0.8825,-14.5336,0.0078,4.7206,12,1,2,0.166938611471403,1
"57",53,57,6,-0.3542,-0.2684,-2.4031,-0.6919,-0.4131,-2.7423,0.0082,4.8238,7.5545,4,2,0.500036018702653,12
"58",55,58,3,-1.4111,1.5541,-6.0159,-1.4734,1.6477,-6.503,0.0075,4.8501,9.0545,4,2,0.49990865165548,10
"59",56,59,1,0.1726,0.8825,-14.5336,0.1598,1.0147,-15.0156,0.0078,4.9075,12,1,2,0.499964678752409,1
"60",0,60,7,0,0,-2,-0.0339,0.0565,-2.0752,0.0071,4.985,7.0545,4,2,0.0999824984684821,10
"61",57,61,6,-0.6919,-0.4131,-2.7423,-1.032,-0.5602,-3.078,0.0082,4.9958,7.5545,4,2,0.500000909999172,12
"62",58,62,3,-1.4734,1.6477,-6.503,-1.4986,1.7508,-6.9916,0.0075,5.0379,9.0545,4,2,0.499994609970948,10
"63",59,63,1,0.1598,1.0147,-15.0156,0.1246,1.1376,-15.499,0.0078,5.0944,12,1,2,0.500019009638635,1
"64",63,64,1,0.1246,1.1376,-15.499,0.1136,1.1698,-15.6291,0.0078,5.1447,12,1,2,0.134476206073787,1
"65",61,65,6,-1.032,-0.5602,-3.078,-1.3807,-0.7147,-3.4013,0.0082,5.1677,7.5545,4,2,0.499984829769864,12
"66",60,66,7,-0.0339,0.0565,-2.0752,-0.2005,0.3575,-2.438,0.0071,5.1825,7.0545,4,2,0.499980399615825,10
"67",62,67,3,-1.4986,1.7508,-6.9916,-1.5288,1.8592,-7.4788,0.0075,5.2256,9.0545,4,2,0.500026439300963,10
"68",65,68,6,-1.3807,-0.7147,-3.4013,-1.6603,-0.8275,-3.6654,0.0082,5.3056,7.5545,4,2,0.400810191986182,12
"69",64,69,1,0.1136,1.1698,-15.6291,0.0621,1.2969,-16.1099,0.0078,5.3316,12,1,2,0.49997529938988,1
"70",66,70,7,-0.2005,0.3575,-2.438,-0.3519,0.6657,-2.8015,0.0071,5.38,7.0545,4,2,0.50004144828204,10
"71",67,71,3,-1.5288,1.8592,-7.4788,-1.5489,1.9303,-7.9733,0.0075,5.4134,9.0545,4,2,0.499989469889117,10
"72",68,72,6,-1.6603,-0.8275,-3.6654,-2.0109,-0.9212,-4.0093,0.0082,5.4775,7.5545,4,2,0.499967258928022,12
"73",69,73,1,0.0621,1.2969,-16.1099,0.0328,1.4578,-16.5824,0.0078,5.5185,12,1,2,0.500003549987398,1
"74",70,74,7,-0.3519,0.6657,-2.8015,-0.5001,0.9744,-3.1658,0.0071,5.5775,7.0545,4,2,0.499973419293466,10
"75",71,75,3,-1.5489,1.9303,-7.9733,-1.5286,1.9861,-8.4698,0.0075,5.6012,9.0545,4,2,0.500037978557628,10
"76",72,76,6,-2.0109,-0.9212,-4.0093,-2.3791,-0.9888,-4.3407,0.0082,5.6495,7.5545,4,2,0.499966958908287,12
"77",73,77,1,0.0328,1.4578,-16.5824,0.0232,1.5841,-17.0661,0.0078,5.7054,12,1,2,0.500009539908989,1
"78",74,78,7,-0.5001,0.9744,-3.1658,-0.6098,1.2485,-3.5693,0.0071,5.775,7.0545,4,2,0.499977149477854,10
"79",75,79,3,-1.5286,1.9861,-8.4698,-1.509,2.0461,-8.9658,0.0075,5.7889,9.0545,4,2,0.500000159999975,10
"80",77,80,1,0.0232,1.5841,-17.0661,0.0245,1.6412,-17.3186,0.0078,5.8022,12,1,2,0.258879025801629,1
"81",76,81,6,-2.3791,-0.9888,-4.3407,-2.7601,-1.0223,-4.6628,0.0082,5.8214,7.5545,4,2,0.500031658997708,12
"82",78,82,7,-0.6098,1.2485,-3.5693,-0.72,1.5236,-3.972,0.0071,5.9725,7.0545,4,2,0.499991339925003,10
"83",79,83,3,-1.509,2.0461,-8.9658,-1.4892,2.1065,-9.4617,0.0075,5.9767,9.0545,4,2,0.499957008151702,10
"84",80,84,1,0.0245,1.6412,-17.3186,0.0353,1.7459,-17.8074,0.0078,5.9891,12,1,2,0.500004169982612,1
"85",81,85,6,-2.7601,-1.0223,-4.6628,-3.1311,-1.0972,-4.9896,0.0082,5.9934,7.5545,4,2,0.500049247574677,12
"86",82,86,7,-0.72,1.5236,-3.972,-0.7307,1.5554,-4.0148,0.0071,5.994,7.0545,4,2,0.0543835453055426,10
