"","id","seminal_a","seminal_a_sd","seminal_la","seminal_la_sd","seminal_lb","seminal_lb_sd","seminal_ln","seminal_ln_sd","seminal_lmax","seminal_lmax_sd","sb_a","sb_a_sd","sb_la","sb_la_sd","sb_lb","sb_lb_sd","sb_ln","sb_ln_sd","sb_lmax","sb_lmax_sd","lat_a","lat_a_sd","lat_length","lat_length_sd","lat_theta","lat_theta_sd","first_b","max_b","first_s","n_s","delay_b","delay_s","tap_a","tap_la","tap_lb","tap_ln","tap_lmax","tap_r","seminal_r","sb_r","lat_r","lat_lmax","lat_basal_r","first_b_sd","max_b_sd","first_s_sd","n_s_sd","delay_b_sd","delay_s_sd","tap_a_sd","tap_la_sd","tap_lb_sd","tap_ln_sd","tap_lmax_sd","tap_r_sd","seminal_r_sd","sb_r_sd","lat_r_sd","lat_lmax_sd","lat_basal_r_sd","ACCESSION","sample ID","NAME","ORIGIN 1","ORIGIN 2","COORDINATES","NARRATIVE","RECEIVED","SOURCE DATE","COLLECTION SITE","ELEVATION","HABITAT"
"1",1,0.060911648,0.018149643,0.2539104,0.224475997,1.0683129,1.510822592,1.086426692,0.627248743,1.880615333,0.341901919,0.046989105,NA,0.7518985,NA,4.103967,NA,1.086426692,0.552470951,4.8558655,NA,0.040462526,0.008940582,0.609224802,0.748104502,1.256777561,0.482459278,8.44348098,0.75,7.790461544,0.25,NA,NA,0.050229556,17.92118275,0.935492653,0.206359622,30.882241,3.431360111,3.524336963,4.014643333,0.288336056,1.432569252,0.2891415,0.16906027,0.5,NA,0.5,NA,NA,0.003295835,5.34856187,0.728083091,0.078177252,6.336549519,0.704061058,0.831675892,NA,0.088219671,0.944931115,0,"Ames 2355",1,"Ames 2355","Ontario","Canada","50.000678, -86.000977","A late open pollinated white flour corn variety used for making corn soup.  Passed down from generation to generation at the Six Nations Indian Reservation, Oksweken, Ontario.",1983,NA,"Six Nations Indian Reservation, Oksweken.",NA,NA
"2",2,0.047909117,0.008773556,NA,NA,NA,NA,NA,NA,6.02871835,3.179709093,0.04437712,NA,NA,NA,NA,NA,NA,0.552470951,1.3795975,NA,0.053221331,0.013394356,0.376917399,0.270498349,1.110050678,0.718040926,2.164446641,3,7.81210295,0.5,1.786534629,NA,0.050345639,10.3029404,0.99582976,0.16342999,11.774451,1.308272333,1.308272333,1.161378,0.423106862,0.803673846,0.445887053,0.990910397,0,NA,0.707106781,1.560941895,NA,0.00684924,NA,NA,NA,1.869659626,0.207739958,0.207739958,NA,0,NA,0,"Ames 3940",2,"Burro Mountain White Popcorn","New Mexico","United States","34.5708167, -105.993007","Originally found in pottery container estimated to be 600 to 1000 years old. Pottery was found in the Burro Mountains, Grant County, New Mexico. Grown originally by Frank Tatsch in New Mexico, then increased by William Glasscock in Illinois. Small-eared, white rice popcorn.",1985,"PRE 03/11/1985","Burro mountains, Grant County.",NA,NA
"3",3,0.070566602,0.015667168,9.801928887,6.994803669,1.552093437,0.884266961,0.585809894,0.511583509,16.74746904,7.668477116,0.038391655,NA,NA,NA,NA,NA,0.585809894,0.552470951,1.4594346,NA,0.043076091,0.011096134,0.585893671,0.630089506,1.350664513,0.502116781,1.892933844,5.666666667,8.533468476,0.333333333,1.202680712,NA,0.060882958,21.768182,1.321719067,0.192932437,31.62868,3.514297778,3.514297778,3.128265778,0.637989945,1.026608517,0.192511793,1.125596009,0.577350269,NA,0.577350269,0.482042862,NA,0.003076201,2.923914677,0.66038617,0.062179102,5.167007275,0.574111919,0.574111919,NA,0.306555824,0.32901156,0.124256259,"PI 213697",3,"Lancaster Sure Crop","Pennsylvania","United States","40.9699889, -77.7278831","Open-pollinated variety. Seeds yellow dent. Original family strain.",1954,"PRE 03/03/1954","From Noah Hershey, Lancaster, Pennsylvania.",NA,NA
"4",4,0.047959836,0.008065796,11.53755401,6.596191189,2.62559578,2.579646024,0.826873313,0.43409529,12.06374289,7.91778528,NA,NA,NA,NA,NA,NA,0.826873313,0.552470951,NA,NA,0.037369762,0.00937593,0.582213021,0.704338077,1.354482519,0.598628586,2.145133408,6,NA,0,0.831780602,NA,0.051410804,21.3707655,1.55847664,0.308668838,23.92559733,2.658399704,2.658399704,NA,0.30545476,1.111829697,0.432684011,0.998704577,3,NA,0,0.351656597,NA,0.004437885,0.969984334,1.545131215,0.006804201,12.56810035,1.396455594,1.396455594,NA,0.06521547,0.483619493,0.746241709,"PI 213699",4,"Krug Yellow Dent","Iowa","United States","42.40027778, -93.07555556","Open-pollinated variety. Seeds yellow dent. Good ""GOLD MINE"" type.",1954,"PRE 03/03/1954","From H.A. Schemed, Steamboat Rock, Iowa.",NA,NA
"5",5,0.059971378,0.015653707,10.44447917,7.68014435,1.766367194,1.113305447,1.052545439,0.570194465,10.60192136,9.661373688,0.031536225,NA,NA,NA,NA,NA,1.052545439,0.552470951,0.7235995,NA,0.035737815,0.009319801,0.47946401,0.485630451,1.352418367,0.464129253,2.693778366,7.666666667,8.785663839,0.333333333,0.954112417,NA,0.05847242,17.55983633,0.226810867,0.383039289,31.50239767,3.500266407,3.500266407,3.376002889,0.224725805,0.861901611,0.213065293,2.471294097,1.527525232,NA,0.577350269,0.649910461,NA,0.004964837,7.363199971,0.392847945,0.182810307,15.28091644,1.697879604,1.697879604,NA,0.231549777,0.577334084,0.200521246,"PI 213704",5,"Amman Corn","Iowa","United States","42.73166667, -93.73277778","Open-pollinated variety. Seeds yellow dent. Chunky, solid, medium-textured ear.",1954,"PRE 03/03/1954","From C.H. Miller, Clarion, Iowa.",NA,NA
"6",6,0.056463272,0.011356227,7.141697777,4.251483833,1.290919769,0.562535501,1.360604517,0.437328186,11.51795516,7.268357974,NA,NA,NA,NA,NA,NA,1.360604517,0.552470951,NA,NA,0.043286723,0.016146539,0.762140221,1.031966976,1.352507368,0.610497321,3.168823948,6.25,NA,0,0.772045747,NA,0.051512196,21.48964205,1.080207328,0.585070684,26.88384075,2.987093417,2.987093417,NA,0.712228696,1.104739159,0.088045203,1.015024806,1.707825128,NA,0,0.238904732,NA,0.010068509,5.844304105,0.612209494,0.225103127,7.998202694,0.888689188,0.888689188,NA,0.618332501,0.498231263,0.067164289,"PI 213705",6,"Reids Yellow Dent","Illinois","United States","39.85250000, -89.40861111","Open-pollinated variety. Seeds yellow dent.",1954,"PRE 03/03/1954","From G. Nilhaus, Buffalo, Illinois.",NA,NA
"7",7,0.063399093,0.021003394,8.712681153,7.707288126,2.159947661,1.383593042,0.348006183,0.131226758,11.74488251,9.862523817,NA,NA,NA,NA,NA,NA,0.348006183,0.552470951,NA,NA,0.039845231,0.013179199,0.631382435,0.637474486,1.405899585,0.566390785,1.273173437,10,NA,0,0.848238018,NA,0.063997771,18.88897125,0.405093435,0.396916059,33.215671,3.690630111,3.690630111,NA,0.143115354,1.14319701,0.018931378,1.411753515,7.615773106,NA,0,0.813975324,NA,0.015107036,4.844383105,0.402347639,0.277118067,12.37589883,1.37509987,1.37509987,NA,0.308827592,0.384332441,0.238170914,"PI 213706",7,"Osterland Reids Yellow Dent","Iowa","United States","42.52250000, -93.25111111","Open-pollinated variety. Seeds yellow dent.",1954,"PRE 03/03/1954","From W. Reinhardt, Iowa Falls, Iowa.",NA,NA
"8",8,0.058833684,0.012931289,6.093067558,6.263434672,1.742608758,1.175811825,0.57718876,0.269785998,8.31515125,7.850133452,NA,NA,NA,NA,NA,NA,0.57718876,0.552470951,NA,NA,0.044146076,0.013823061,0.872468611,0.926811901,1.385228476,0.625522776,1.929455103,8.333333333,NA,0,0.861147626,NA,0.058712228,20.7282965,1.1972174,0.205990623,29.18772467,3.243080519,3.243080519,NA,0.362828826,2.25153141,0.362828826,1.584082474,2.081665999,NA,0,0.175910808,NA,0.006542196,2.380402147,0.151594643,0.002160164,16.39929254,1.822143615,1.822143615,NA,0.103373072,0.219228162,0.103373072,"PI 213712",8,"Midland Yellow Dent","Kansas","United States","37.47444444, -97.24361111","Open-pollinated variety. Seeds yellow dent.",1954,"PRE 03/03/1954","From W.C. Lambke, Mulvane, Kansas.",NA,NA
"9",9,0.059067207,0.005198326,5.699045,3.189243139,1.526612947,0.571354433,0.475815601,0.411588374,7.8440795,2.455257396,0.080189153,0.001942843,NA,NA,NA,NA,0.475815601,0.552470951,2.84111175,0.392177614,0.049926954,0.012915213,0.704304425,0.614254705,1.44943991,0.573480166,5.969735706,4,8.144206781,2,0.470549807,0.152205934,0.059542855,19.127998,0.66946274,0.282556994,32.795082,3.643898,3.643898,3.643898,0.408808025,1.37475801,0.408808025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PI 213714",9,"Papago Flour","Arizona","United States","34.395342, -111.763275","Open-pollinated variety. Seeds yellow flour.",1954,NA,"Originally from Arizona.",NA,NA
"10",10,0.052634333,0.010983517,11.22737674,6.1857117,1.342162314,0.711705802,1.136212176,0.825904269,12.47702125,7.582462109,0.066269514,0.008495515,NA,NA,NA,NA,1.136212176,0.552470951,2.27288985,0.37690043,0.041555458,0.0133162,0.551511741,0.552230893,1.327013316,0.535287123,2.050032908,6,8.237761597,0.5,1.258443391,NA,0.056205858,20.050143,0.857078157,0.230227928,29.038603,3.226511444,3.226511444,3.00812,0.318797588,1.24692889,0.147219637,1.280991853,2.160246899,0.055960921,0.577350269,0.523641997,NA,0.011270269,0.565618272,0.409779113,0.095803976,4.73850474,0.526500527,0.526500527,0.715311105,0.095543708,0.442424277,0.136572799,"PI 213715",10,"Gourdseed Dent","Texas","United States","31.2638905, -98.5456116","Open-pollinated variety. Seeds white dent. Typical Gourdseed type. Rare.",1954,NA,"Originally from Texas.",NA,NA
